,昵称,口味,环境,服务,人均,评论,时间
0,小果,5.0,4.5,4.5,NONE,西贝莜面村是北京很多地方都能看到的连锁餐饮品牌，很有亲和力，感觉服务员热情和微笑服务也非常好。莜面鱼最有意思，很逼真。,NONE
1,时间,5.0,5.0,5.0,NONE,今天去他们家买了一个草莓蛋糕，味道真的很不错，价格也很优惠。,NONE
2,小美女666666,5.0,5.0,5.0,40元,独具特色西北风味是对西贝莜面村最好评价。到这里根本停不住口。美食诱惑巨大哦！希望多出优惠团购更好啦,NONE
3,匿名用户,5.0,5.0,5.0,200元,西北菜，啥都好，价格越来越高，不好定房间,NONE
4,dpuser_43266439954,5.0,5.0,5.0,NONE,元旦和朋友去了趟西贝莜面村(六里桥店)环境不错，服务也很周到，点了几道菜都是我喜欢吃的，觉得味道都很好...,2020-01-0321:22
5,正在变胖的路上,4.5,4.5,4.5,NONE,特别喜欢的一家店，据说是总店，周末有时间就和朋友约在这里，吃完可以就逛逛和谐广场。「烤羊肉串」「...,2020-01-0209:59
6,CB1,4.5,5.0,5.0,125元,西贝最大的店了吧，宽敞！服务很热情。牛大骨，选的肋排，看着不大，切出，4个人没吃完，沾着辣酱，配着...,2020-01-0118:20
7,dpuser_0040851621,4.5,4.5,4.5,180元,位置在六里桥地铁站对面，比较好找，出了地铁有地下通道。一共4层，人非常多，高峰期需要等位，我们到时刚...,2020-01-0116:36
8,情愫安仔,3.0,3.5,2.5,100元,第一次吃西贝，还是在北京的总部，看了价格之后听姐姐说比之前贵了好多，四个人没有点太多东西，凉皮不错，...,2020-01-0114:27
9,依依霏霏,4.5,4.5,5.0,NONE,这家店烤羊肉串比较好吃。点了西贝面筋，这次换上菜方式了，显得好大一盘，小料分开盛放，比较讲究的感觉，...,2019-12-3121:53
10,恋雪飘香,5.0,5.0,5.0,NONE,如果我没记错，六里桥这家西贝是北京开的第一家吧？装修风格很有地域特色，但是店址比较不方便，开车还好，要是坐车去还是走的远。,NONE
11,请提醒我喝水、,5.0,5.0,5.0,100元,重要的事情说三遍！他家鱼非常好吃，他家鱼好吃，鱼好吃……，沙棘汁也是我喝过最好喝的果汁，水果之王！果...,2019-12-3023:17
12,cgnick,4.5,4.5,5.0,NONE,吃过很多家西贝了菜品质量还是很有保障的服务也是朝着海底捞的方前进本身菜品不算多但正如那句口号...,2019-12-3021:45
13,Oo优优oO,4.5,4.5,5.0,NONE,服务一流，菜品是闭着眼睛点，道道都好吃。羊肉串很好吃，小贵。烤羊排太美味了，还有干锅花菜六里桥店的最好吃，花生米有点咸，其他都很不错！,NONE
14,想吃一只小龙虾,0.5,0.5,0.5,NONE,家住后面，一直吃，今儿晚上回来晚了，不想吃太多，就要了个肉夹馍带走，真是服了，只是个馍，肉没多少，还没味，有点咸味也行啊，对得起它15块钱的价格嘛，之前外卖点羊杂汤，稀稀汤汤的，大不如以前了,NONE
