,昵称,口味,环境,服务,人均,评论,时间
0,马小倩倩,4.5,5.0,5.0,100元,和妈妈两个人中午到西贝吃饭，由于当天我的牙肿了，所以就想先吃点儿清淡的带汤的，两个人点了「黄米凉糕...,2020-02-0613:00
1,CHerry_yiyi7,3.5,3.5,3.5,NONE,味道和以前比没什么变化，服务也还不错，但真的越越贵了！！！说实话个人已经觉得已经不值这个价位了！量...,NONE
2,dpuser_5743095988,4.0,4.0,4.0,135元,菜品种类比较精简味道还好服务还蛮好但觉得不值这个价位,NONE
3,李木子宣宣,4.0,4.0,4.0,NONE,西贝莜面村，最近比较火的餐厅，每次去君太逛街，看着就是人多排队，去吃的那次是晚上，君太快关门了，他家...,2020-01-2511:59
4,GAUDI,4.0,4.0,4.0,140元,一直就很喜欢吃西贝莜面村的各类西北菜，大口大口的吃肉，很爽。现在西贝全国的连锁店都是统一的装修，红格...,2020-01-2319:46
5,i_273824,3.5,4.5,2.5,120元,黄米凉糕依旧如此好吃这次点的蘑菇鱼鱼踩雷了有点太咸了朋友说这家的牛肉汤泡馍也没有别家的好吃可能是...,2020-01-2315:58
6,傲娇的大锤,4.0,4.0,4.0,NONE,大锤寻吃记,2020-01-2115:50
7,幼稚公主病,5.0,5.0,5.0,60元,每次路过西贝都觉得人好多啊，不就是个莜面么能有多好吃…结果惨遭打脸，大型真香现场蘑菇汤味道特别浓郁...,2020-01-2115:21
8,轩语心愿,4.5,4.5,4.5,80元,环境服务没得说，服务员让人舒服充了299，哈哈，后续花费更大啊，要不然享受不了会员价回家又在网上商城...,2020-01-2016:09
9,匿名用户,0.5,0.5,0.5,NONE,怪不得这家店得分这么低，大家都是西贝莜面，会员到你家就没权益了？！儿童餐优惠拒绝使用，经理态度还超级...,NONE
10,JJ,1.5,4.0,1.5,NONE,一进门就没人管，问了前面一个穿白衬衫的男员工，有没有做，需不需要等，然后他都没看我们，指着里面说往里...,2020-01-1817:18
11,191900932,4.0,4.0,4.0,80元,酸汤面都29一碗了,2020-01-15  更新于2020-01-2717:20
12,匿名用户,4.0,4.0,4.0,70元,西贝真的是很经的餐厅了。7个号排队等了二十多分钟入场。等位时候看见开放厨房做面点，黄米凉糕真的很诱...,2020-01-1315:55
13,理想懒羊羊,3.5,3.5,3.5,NONE,环境不错，服务也可以。鱼鱼的味道很棒。空心面的味道也很好。口感很棒。,NONE
14,_SuperMona_,2.5,2.5,2.5,NONE,非常不认可吃饭先上主食的做法第一个上来的居然是羊汤空心挂面♀然后是奶酪饼♀然后是酸奶...,2020-01-1100:09
