,昵称,口味,环境,服务,人均,评论,时间
0,小冰,5.0,5.0,5.0,80元,西贝莜面，一段时间不吃还挺想吃，这次带着宝宝一起来的，中午人不是很多，很好听车、店里有宝宝椅和宝宝餐...,2019-08-0715:46
1,大力大美麻麻,4.0,4.0,4.0,80元,今天上菜超级慢，可能不在吃饭的时间，所以服务员少，厨师也少。催了好几遍，饿得不行了。黄金豆上回别的店没吃的，这次专门点的，超级好吃下饭。,2019-08-0620:42
2,吃好每一天,5.0,5.0,5.0,NONE,周六想吃西贝了，正好赶上华联商场有活动，果断去吃。两个人点了一份烹香黄金豆，一份西北面筋，两碗米饭...,2019-08-0619:53
3,latinskygg,4.0,4.0,5.0,NONE,晚上带着丈母娘吃饭。主要是环境还可以，不杂乱。感觉菜价又涨了，可能我好久不了。三个大人一个孩...,NONE
4,匿名用户,4.0,4.0,4.0,NONE,不是特别喜欢这种吃法和类型吧，不太适合一个人去吃,NONE
5,小蟠桃儿,5.0,5.0,5.0,NONE,早走耳闻一直未拔草来北京找朋友不知道吃什么就来到了这里首先这里的服务绝对令人满意说...,2019-08-0420:29
6,阿毛Mabel,4.0,4.0,4.0,NONE,[环境]相对回龙观万科店略显拥挤狭小，特别是周末，稍晚一点就要排队等号。[服务]服务还是可以，只是上菜...,2019-08-0418:50
7,棒棒大宝贝,5.0,5.0,5.0,60元,这标志性的桌布恩西北无疑了~虽然有很多的西北菜馆但是总觉得这家做的味道更喜欢可能也是因为我并没有...,2019-08-0411:30
8,顾晓曦,4.0,5.0,5.0,150元,可能四川人不太适合这种西北菜吧，感觉一般般，但是闺蜜觉得特别好吃，说好吃得都懒得说话了。服务员不忙的...,2019-08-0323:02
9,小饼干2222,5.0,5.0,5.0,NONE,感觉西贝家可以说在莜面界独树一帜了！他家的莜面都是现做的，还可以在操作间看到制作过程，干净卫生，特...,2019-08-0209:33
10,dpuser_2881854318,5.0,5.0,5.0,NONE,进门之后右边是一排大镜子，设计挺独特的，菜品不错，除了粉丝包菜没吃完其他都空了哈哈，不是不好吃是吃饱...,2019-08-0115:19
11,活力满满美少女,4.0,5.0,5.0,NONE,之前去陕西吃过莜面，由于不是特别有感，所以一直也没在北京吃过西贝。这次跟朋友一起吃。点了小羊排、牛...,2019-08-0114:46
12,是小远远不是小圆圆,5.0,5.0,5.0,150元,牛大骨确实好吃。很软烂入味。两个人明显点多了没吃完打包了一部分。选了两款牛大骨。都不错。贵有贵的道...,2019-08-0112:45
13,叶纸大哥,5.0,4.0,5.0,NONE,最喜欢的还是「西红柿浇汁莜面」第一次吃觉得味道一般般，但是后来回想还是挺好吃的「黄米凉糕」里边没有...,2019-07-3123:29
14,love～幽幽,5.0,5.0,5.0,NONE,老华联三楼最火餐饮之一的...西贝莜面村.每天饭点人都不少.每次都要等位.明档可以看到里面的工作人员.为每...,2019-07-3000:17
