,昵称,口味,环境,服务,人均,评论,时间
0,Sneaker幻隐,5.0,5.0,5.0,120元,西贝遍布全北京可我还真第一次吃首先就是觉得价格不便宜,2019-10-1709:50
1,衫尼,5.0,5.0,5.0,NONE,中午办完事到九毛九时间已经一点多了饿的前胸贴后背像照片一样导致点了三个菜就照了一个菜的其他的菜...,2019-10-1619:06
2,小小芒。,5.0,5.0,5.0,NONE,真的没的说！每道菜都很好吃，真可以闭着眼睛点了经常去店或点她家外卖，最爱的是西红柿浇汁莜面，西红柿...,2019-10-1613:37
3,艾米尔_6627,5.0,5.0,5.0,256元,菜品齐全，环境不错干净卫生，特别喜欢去他家吃，特别好，特别美味，服务员态度也很好，很热情，和朋友去他...,2019-10-1516:44
4,Mors,4.0,4.0,5.0,NONE,西贝的口味一直没的说，大部分菜品都比较可口。当天是因为姐姐生病，想吃点清淡的，实在想不出吃什么，就去...,NONE
5,乐儿,5.0,4.0,5.0,NONE,人的食欲一阵一阵的，前段时间爱吃粤菜，从早到晚粤菜五天；有时喜好酸甜苦涩，西北的面食正中口味；...,2019-10-0823:09
6,dpuser_0735427345,4.0,5.0,4.0,NONE,西贝永远是亲朋好友聚会就餐的首选，不为其他，就为就餐环境，服务员的热情服务，菜品的味道，绝对值得大家...,2019-10-0819:51
7,chloe木易,5.0,5.0,5.0,150元,十一回来就开荤了,2019-10-0815:25
8,蓝莎萌萌_6676,3.0,5.0,5.0,110元,是个连锁，到处都是，味道服务都不错，环境也很好，最爱吃的就是小米膏了，说实话特色一般，比较平庸的菜品...,2019-10-0722:08
9,老大嘿嘿哈哈,5.0,5.0,5.0,NONE,华联商场的这家西贝莜面村，存在好久了，我记得几年前的时候就有他。如果不是特意隆重请客的话，还是比较...,2019-10-0615:10
10,BlueMan,5.0,5.0,5.0,NONE,西贝最近的定价相对比较贵，希望以后可以便宜一点。定价不合理。一般用优惠券才便宜一点。,NONE
11,Lionel_Chan,5.0,5.0,5.0,NONE,经常在西贝吃，种类不太多，但是每个菜都很好吃,NONE
12,shelley,1.0,1.0,1.0,NONE,给大大的差评，今天现场点外卖，自己带回家。总共三个菜140元。到家发现凉皮没给放浇汁，立刻给店里打电话...,NONE
13,品弦,5.0,5.0,5.0,NONE,简餐快餐，快捷方便，环境干净整洁，服务周到热情。[环境]干净舒适[服务]热情周到，上菜速度快「罗马生...,2019-10-0411:33
14,两小无猜21665,4.0,5.0,4.0,NONE,回龙观西大街华联三层西贝莜面村，面积算是比较大的，跟表姐还有两个小外甥女儿一块儿来的，小朋友喜欢吃那...,2019-10-0214:47
